headword,pos,CEFR,CoreInventory 1,CoreInventory 2,Threshold
a,determiner,A1,,,
a.m./A.M./am/AM,adverb,A1,,,
abandon,verb,B1,,,
abandoned,adjective,B2,,,
ability,noun,A2,,,
able,adjective,B1,,,
abnormal,adjective,B1,,,
abnormally,adverb,B2,,,
aboard,adverb,B1,,,
abolish,verb,B2,,,
aboriginal,adjective,B2,,,
aborigine,noun,B1,Nationalities and countries,,
about,adverb,A1,,,
about,preposition,A1,,,
above,adjective,B1,,,
above,adverb,A1,,,
above,preposition,A1,,,
abroad,adverb,A2,,,
abruptly,adverb,B2,,,
absence,noun,B1,,,
absent,adjective,B1,,,
absentee,noun,B2,,,
absolute,adjective,B1,,,
absolutely,adverb,B1,,,
absorb,verb,B1,,,
abstract,adjective,B1,,,
absurd,adjective,B2,,,
abundance,noun,B1,,,
abundant,adjective,B1,,,
abuse,noun,B2,"News, lifestyles and current affairs",,
academic,adjective,B1,,,
academy,noun,B1,Education,,
accent,noun,B1,Education,,Education
accept,verb,A2,,,
acceptable,adjective,A2,,,
acceptance,noun,B1,,,
access,noun,B1,Ways of travelling,,Travel
access,verb,B2,,,
accessibility,noun,B2,,,
accessible,adjective,B1,,,
accessory,noun,B1,Shopping,,Shopping
accident,noun,A2,"News, lifestyles and current affairs",,Health and body care
accidental,adjective,B1,,,
accidentally,adverb,B1,,,
accommodation,noun,B2,Travel and services vocab,,Travel
accompany,verb,B1,,,
accomplish,verb,B1,,,
according to,preposition,B1,,,
accordingly,adverb,B2,,,
account,noun,A2,"Things in the town, shops and shopping",,Services
account,verb,B1,,,
accountant,noun,B1,Work and Jobs,,Personal identification
accumulate,verb,B2,,,
accuracy,noun,B1,,,
accurate,adjective,B1,,,
accurately,adverb,B1,,,
accusation,noun,B2,"News, lifestyles and current affairs",,
accuse,verb,B1,,,
accustom,verb,B1,,,
ache,noun,B1,Travel and services vocab,,Health and body care
ache,verb,B2,,,
achievable,adjective,B2,,,
achieve,verb,A2,,,
achievement,noun,B1,Education,,
acid,noun,B2,,,
acknowledge,verb,B1,,,
acknowledgment/acknowledgement,noun,B1,,,
