headword,pos,CEFR,notes
exterior,noun,C1,
cloak,noun,C1,
timid,adjective,C1,
reluctantly,adverb,C1,
complexity,noun,C1,
concur,verb,C1,
avid,adjective,C1,
marvel,verb,C1,
wing,noun,C1,
enviable,adverb,C1,
organizational,adjective,C1,
psychiatrist,noun,C1,
psychiatric,adjective,C1,
clinical,adjective,C1,
corps,noun,C1,
forensic,adjective,C1,
juvenile,noun,C1,
juvenile,adjective,C1,
jurisdiction,noun,C1,
accustomed,adjective,C1,
trauma,noun,C1,
traumatic,adjective,C1,
constraint,noun,C1,
revealing,adjective,C1,
eccentric,adjective,C1,
sanctity,noun,C1,
conform,verb,C1,
norms,noun,C1,
quirk,noun,C1,
oddity,noun,C1,
compel,verb,C1,
compulsion,noun,C1,
conceive,verb,C1,
conceivable,adjective,C1,
assertion,noun,C1,
individuality,noun,C1,
psyche,noun,C1,
conformity,noun,C1,
unconventional,adjective,C1,
congregate,verb,C1,
rally,verb,C1,
resent,verb,C1,
self-conscious,adjective,C1,
wary,adjective,C1,
stoke,verb,C1,
dynamically,adverb,C1,
hostess,noun,C1,
perpetuate,verb,C1,
naturalness,noun,C1,
exhibitionist,noun,C1,
isolate,verb,C1,
isolated,adjective,C1,
humble,verb,C1,
humble,adjective,C1,
refreshingly,adverb,C1,
effortless,adjective,C1,
vegetation,noun,C1,
brief,verb,C1,
respite,noun,C1,
suffice,verb,C1,
purity,noun,C1,
gruelling,adjective,C1,
cast,noun,C1,"plaster cast, mold"
cast,verb,C1,hire actors
cast,verb,C1,say or suggest something (e.g. doubt)
comprise,verb,C1,
plaster,noun,C1,
plaster,verb,C1,
darkroom,noun,C1,
induct,verb,C1,
induction,noun,C1,
stock,verb,C1,
fossil,noun,C1,
geological,adjective,C1,
geologically,adverb,C1,
house,verb,C1,
specimen,noun,C1,
enormously,adverb,C1,
gem,noun,C1,
explanatory,adjective,C1,
vertical,adjective,C1,
knowledgeable,adjective,C1,
ordinarily,adverb,C1,
hanging,noun,C1,
hanging,noun,C1,
tomb,noun,C1,
formulate,verb,C1,
resin,noun,C1,
sacrifice,noun,C1,
sacrifice,verb,C1,
cleanly,adverb,C1,
endorsement,noun,C1,
